Feature,NewName
tBodyAcc-mean()-X,TimeBodyAccelerometerXAxisMean
tBodyAcc-mean()-Y,TimeBodyAccelerometerYAxisMean
tBodyAcc-mean()-Z,TimeBodyAccelerometerZAxisMean
tBodyAcc-std()-X,TimeBodyAccelerometerXAxisStandardDeviation
tBodyAcc-std()-Y,TimeBodyAccelerometerYAxisStandardDeviation
tBodyAcc-std()-Z,TimeBodyAccelerometerZAxisStandardDeviation
tGravityAcc-mean()-X,TimeGravityAccelerometerXAxisMean
tGravityAcc-mean()-Y,TimeGravityAccelerometerYAxisMean
tGravityAcc-mean()-Z,TimeGravityAccelerometerZAxisMean
tGravityAcc-std()-X,TimeGravityAccelerometerXAxisStandardDeviation
tGravityAcc-std()-Y,TimeGravityAccelerometerYAxisStandardDeviation
tGravityAcc-std()-Z,TimeGravityAccelerometerZAxisStandardDeviation
tBodyAccJerk-mean()-X,TimeBodyAccelerometerJerkXAxisMean
tBodyAccJerk-mean()-Y,TimeBodyAccelerometerJerkYAxisMean
tBodyAccJerk-mean()-Z,TimeBodyAccelerometerJerkZAxisMean
tBodyAccJerk-std()-X,TimeBodyAccelerometerJerkXAxisStandardDeviation
tBodyAccJerk-std()-Y,TimeBodyAccelerometerJerkYAxisStandardDeviation
tBodyAccJerk-std()-Z,TimeBodyAccelerometerJerkZAxisStandardDeviation
tBodyGyro-mean()-X,TimeBodyGyroscopeXAxisMean
tBodyGyro-mean()-Y,TimeBodyGyroscopeYAxisMean
tBodyGyro-mean()-Z,TimeBodyGyroscopeZAxisMean
tBodyGyro-std()-X,TimeBodyGyroscopeXAxisStandardDeviation
tBodyGyro-std()-Y,TimeBodyGyroscopeYAxisStandardDeviation
tBodyGyro-std()-Z,TimeBodyGyroscopeZAxisStandardDeviation
tBodyGyroJerk-mean()-X,TimeBodyGyroscopeJerkXAxisMean
tBodyGyroJerk-mean()-Y,TimeBodyGyroscopeJerkYAxisMean
tBodyGyroJerk-mean()-Z,TimeBodyGyroscopeJerkZAxisMean
tBodyGyroJerk-std()-X,TimeBodyGyroscopeJerkXAxisStandardDeviation
tBodyGyroJerk-std()-Y,TimeBodyGyroscopeJerkYAxisStandardDeviation
tBodyGyroJerk-std()-Z,TimeBodyGyroscopeJerkZAxisStandardDeviation
tBodyAccMag-mean(),TimeBodyAccelerometerMagnitudeMean
tBodyAccMag-std(),TimeBodyAccelerometerMagnitudeStandardDeviation
tGravityAccMag-mean(),TimeGravityAccelerometerMagnitudeMean
tGravityAccMag-std(),TimeGravityAccelerometerMagnitudeStandardDeviation
tBodyAccJerkMag-mean(),TimeBodyAccelerometerJerkMagnitudeMean
tBodyAccJerkMag-std(),TimeBodyAccelerometerJerkMagnitudeStandardDeviation
tBodyGyroMag-mean(),TimeBodyGyroscopeMagnitudeMean
tBodyGyroMag-std(),TimeBodyGyroscopeMagnitudeStandardDeviation
tBodyGyroJerkMag-mean(),TimeBodyGyroscopeJerkMagnitudeMean
tBodyGyroJerkMag-std(),TimeBodyGyroscopeJerkMagnitudeStandardDeviation
fBodyAcc-mean()-X,FrequencyAccelerometerXAxisMean
fBodyAcc-mean()-Y,FrequencyAccelerometerYAxisMean
fBodyAcc-mean()-Z,FrequencyAccelerometerZAxisMean
fBodyAcc-std()-X,FrequencyAccelerometerXAxisStandardDeviation
fBodyAcc-std()-Y,FrequencyAccelerometerYAxisStandardDeviation
fBodyAcc-std()-Z,FrequencyAccelerometerZAxisStandardDeviation
fBodyAccJerk-mean()-X,FrequencyBodyAccelerometerJerkXAxisMean
fBodyAccJerk-mean()-Y,FrequencyBodyAccelerometerJerkYAxisMean
fBodyAccJerk-mean()-Z,FrequencyBodyAccelerometerJerkZAxisMean
fBodyAccJerk-std()-X,FrequencyBodyAccelerometerJerkXAxisStandardDeviation
fBodyAccJerk-std()-Y,FrequencyBodyAccelerometerJerkYAxisStandardDeviation
fBodyAccJerk-std()-Z,FrequencyBodyAccelerometerJerkZAxisStandardDeviation
fBodyGyro-mean()-X,FrequencyBodyGyroscopeXAxisMean
fBodyGyro-mean()-Y,FrequencyBodyGyroscopeYAxisMean
fBodyGyro-mean()-Z,FrequencyBodyGyroscopeZAxisMean
fBodyGyro-std()-X,FrequencyBodyGyroscopeXAxisStandardDeviation
fBodyGyro-std()-Y,FrequencyBodyGyroscopeYAxisStandardDeviation
fBodyGyro-std()-Z,FrequencyBodyGyroscopeZAxisStandardDeviation
fBodyAccMag-mean(),FrequencyBodyAccelerometerMagnitudeMean
fBodyAccMag-std(),FrequencyBodyAccelerometerMagnitudeStandardDeviation
fBodyBodyAccJerkMag-mean(),FrequencyBodyAccelerometerJerkMagnitudeMean
fBodyBodyAccJerkMag-std(),FrequencyBodyAccelerometerJerkMagnitudeStandardDeviation
fBodyBodyGyroMag-mean(),FrequencyBodyGryoscopeMagnitudeMean
fBodyBodyGyroMag-std(),FrequencyBodyGryoscopeMagnitudeStandardDeviation
fBodyBodyGyroJerkMag-mean(),FrequencyBodyGryoscopeJerkMagnitudeMean
fBodyBodyGyroJerkMag-std(),FrequencyBodyGryoscopeJerkMagnitudeStandardDeviation
